Num Cols: [23]
Cat Cols: [3, 5, 9]
Null Rows: []
Dirty Rows: []
16935, 0, 5.770885
16936, 0, 5.597265
16937, 0, 5.477901
26023, 0, 5.217471
26024, 0, 5.217471
26025, 0, 5.217471
26026, 0, 5.217471
16934, 0, 4.848529
26010, 0, 4.805124
26011, 0, 4.805124
26012, 0, 4.805124
26027, 0, 4.783422
26028, 0, 4.783422
26007, 0, 4.761719
26008, 0, 4.761719
26009, 0, 4.761719
16932, 0, 4.653207
16933, 0, 4.653207
26017, 0, 4.447033
26018, 0, 4.447033
26015, 0, 4.349372
26016, 0, 4.327670
26019, 0, 4.327670
26020, 0, 4.327670
26013, 0, 4.305967
26014, 0, 4.305967
26021, 0, 4.295116
26022, 0, 4.284265
16938, 0, 3.763405
16939, 0, 3.763405
11549, 0, 3.502975
11547, 0, 3.405314
11548, 0, 3.405314
16940, 0, 3.383612
16941, 0, 3.340207
14406, 0, 3.177438
14407, 0, 3.177438
11561, 0, 3.112331
11562, 0, 3.112331
16929, 0, 2.917008
16930, 0, 2.917008
16931, 0, 2.917008
11552, 0, 2.862752
11557, 0, 2.862752
11558, 0, 2.862752
21390, 0, 2.830198
8906, 0, 2.808496
8907, 0, 2.808496
8904, 0, 2.797645
8905, 0, 2.797645
11559, 0, 2.786793
11560, 0, 2.786793
21388, 0, 2.743388
21389, 0, 2.743388
11555, 0, 2.732537
11556, 0, 2.732537
11551, 0, 2.699983
11553, 0, 2.699983
11554, 0, 2.699983
11550, 0, 2.667430
11768, 0, 2.624025
11769, 0, 2.624025
11770, 0, 2.624025
14402, 0, 2.580620
14403, 0, 2.580620
14404, 0, 2.526364
14405, 0, 2.526364
22819, 0, 2.439554
22820, 0, 2.439554
8898, 0, 2.233380
8897, 0, 2.211678
20580, 0, 2.211678
20581, 0, 2.211678
20582, 0, 2.211678
8899, 0, 2.200826
8908, 0, 2.189975
8909, 0, 2.189975
21385, 0, 2.157421
21386, 0, 2.157421
21387, 0, 2.157421
8902, 0, 2.146570
8900, 0, 2.124868
8901, 0, 2.124868
11771, 0, 2.124868
11772, 0, 2.124868
11773, 0, 2.124868
8903, 0, 2.092314
11070, 0, 2.081463
11071, 0, 2.081463
11072, 0, 2.081463
22817, 0, 1.940397
22818, 0, 1.940397
22815, 0, 1.907843
22816, 0, 1.907843
14398, 0, 1.896992
14399, 0, 1.896992
11544, 0, 1.886140
11545, 0, 1.886140
11546, 0, 1.886140
22811, 0, 1.886140
22812, 0, 1.886140
14400, 0, 1.864438
22813, 0, 1.853587
22814, 0, 1.853587
20577, 0, 1.842735
20578, 0, 1.842735
20579, 0, 1.842735
14401, 0, 1.821033
11541, 0, 1.810182
11542, 0, 1.810182
11543, 0, 1.810182
21396, 0, 1.810182
11067, 0, 1.777628
11068, 0, 1.777628
11069, 0, 1.777628
21397, 0, 1.766777
20585, 0, 1.745074
20583, 0, 1.723372
20584, 0, 1.723372
21394, 0, 1.723372
21395, 0, 1.723372
22808, 0, 1.625711
2974, 0, 1.614859
2975, 0, 1.614859
18325, 0, 1.571454
18326, 0, 1.571454
21391, 0, 1.560603
22807, 0, 1.560603
22809, 0, 1.560603
18327, 0, 1.549752
21382, 0, 1.549752
21383, 0, 1.549752
21384, 0, 1.549752
22805, 0, 1.549752
22806, 0, 1.549752
16926, 0, 1.538901
16927, 0, 1.538901
16928, 0, 1.538901
22810, 0, 1.538901
2970, 0, 1.441240
2971, 0, 1.441240
2972, 0, 1.441240
2973, 0, 1.441240
14397, 0, 1.430388
21392, 0, 1.430388
11777, 0, 1.419537
14396, 0, 1.408686
21402, 0, 1.408686
21403, 0, 1.408686
14395, 0, 1.397835
25084, 0, 1.397835
25085, 0, 1.397835
