Num Cols: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30]
Cat Cols: [0, 17]
Null Rows: []
Dirty Rows: ['5', '11', '17', '23', '29', '35', '41', '47', '53', '59', '65', '71', '77', '83', '89', '95', '101', '107', '113', '119', '125', '131', '137', '143', '268', '274', '322', '328', '334', '340', '346', '375', '381', '392', '398', '404', '410', '416', '422', '468', '474', '480', '486', '492', '498', '504', '510', '516', '522', '528', '539', '545', '592', '634', '655', '719', '798', '804', '830', '866', '876', '1121', '1127', '1157', '1163', '1174', '1180', '1186', '1212', '1218', '1232', '1238', '1244', '1250', '1256', '1262', '1268', '1274', '1280', '1286', '1292', '1298', '1304', '1310', '1316', '1330', '1336', '1366', '1372', '1386', '1392', '1406', '1412', '1434', '1440', '1446', '1452', '1458', '1464', '1470', '1476', '1482', '1516', '1522', '1538', '1544', '1550', '1556', '1673', '1684', '1710', '1741', '1747', '1783', '1789', '1805', '1811', '1817', '1823', '1839', '1845', '1921', '1927', '1933', '1939', '1945', '1951', '1957', '1963', '2017', '2023', '2037', '2043', '2062', '2068', '2082', '2088', '2094', '2100', '2114', '2120', '2126', '2132', '2138', '2308', '2314', '2328', '2334', '2340', '2346', '2352', '2358', '2402', '2452', '2458', '2480', '2486', '2492', '2498', '2504', '2510', '2516', '2522', '2548', '2554', '2586', '2592', '2636', '2650', '2656', '2662', '2668', '2674', '2680', '2686', '2692', '2710', '2716', '2722', '2728', '2734', '2740', '2754', '2760', '2766', '2772', '2778', '2784', '2790', '2796', '2802', '2808', '2814', '2862', '2868', '2874', '2880', '2886', '2892', '2918', '2924', '2966', '2972', '2978', '2984', '3012', '3018', '3024', '3030', '3036', '3042', '3052', '3058', '3064', '3070', '3098', '3104', '3110', '3116', '3122', '3128', '3134', '3140', '3146', '3152', '3158', '3176', '3182', '3188', '3194', '3204', '3210', '3216', '3222', '3232', '3238', '3247', '3253', '3259', '3265', '3271', '3277', '3283', '3297', '3303', '3313', '3319', '3325', '3331', '3337', '3343', '3349', '3355']
1555, 1.260828
1072, 1.264968
2591, 1.265924
2167, 1.268790
2164, 1.269108
2590, 1.269427
3270, 1.269427
2165, 1.270064
2585, 1.270701
2166, 1.271656
2601, 1.272930
1549, 1.273567
2600, 1.273567
2599, 1.274204
2584, 1.275159
1067, 1.275478
1073, 1.276433
1074, 1.276433
1075, 1.276433
1062, 1.277389
2598, 1.278025
2596, 1.278344
2595, 1.278662
1173, 1.279936
2540, 1.279936
2541, 1.280255
1788, 1.280573
2589, 1.280892
2364, 1.281210
2515, 1.281529
2593, 1.281529
2813, 1.281529
3266, 1.281529
2162, 1.282803
2594, 1.282803
1057, 1.283439
1553, 1.283758
2539, 1.283758
1068, 1.284395
1552, 1.284395
1554, 1.284395
2759, 1.285032
1551, 1.285350
2159, 1.285350
2160, 1.285669
2520, 1.285669
2783, 1.285669
2367, 1.285987
2453, 1.286306
2505, 1.286306
1070, 1.286624
2961, 1.286624
1063, 1.286943
2521, 1.286943
3269, 1.286943
1069, 1.287261
1065, 1.287580
2366, 1.287580
2583, 1.287580
1014, 1.287898
1064, 1.287898
1501, 1.287898
2067, 1.287898
2807, 1.288535
1500, 1.288854
1499, 1.289809
2538, 1.289809
2962, 1.290127
2365, 1.290446
2514, 1.290446
892, 1.291401
1753, 1.291401
1391, 1.291720
1782, 1.291720
2809, 1.292038
3268, 1.292357
2362, 1.292675
3264, 1.292675
3267, 1.292675
2161, 1.293312
1169, 1.293631
1058, 1.294268
3248, 1.294586
2795, 1.294904
1871, 1.295541
1060, 1.295860
1185, 1.295860
1017, 1.296497
1052, 1.296497
1861, 1.296497
2361, 1.296497
2140, 1.296815
1020, 1.297134
1179, 1.297134
1547, 1.297134
1548, 1.297134
2360, 1.297134
2588, 1.297134
1059, 1.297452
2139, 1.297452
1016, 1.297771
1545, 1.297771
895, 1.298089
2061, 1.298089
2359, 1.298089
1546, 1.298408
1956, 1.298726
2038, 1.298726
1172, 1.299045
654, 1.299363
1537, 1.299682
1787, 1.299682
2812, 1.299682
3380, 1.300318
2771, 1.300637
934, 1.300955
949, 1.300955
1023, 1.300955
1385, 1.300955
2347, 1.300955
2499, 1.300955
1055, 1.301274
894, 1.301592
1170, 1.301592
2141, 1.301592
1856, 1.301911
3377, 1.301911
2811, 1.302229
1021, 1.302548
1025, 1.302548
2148, 1.302866
2587, 1.302866
2705, 1.302866
1171, 1.303185
1866, 1.303185
2739, 1.303185
2958, 1.303503
3382, 1.303503
929, 1.303822
932, 1.303822
1024, 1.303822
3381, 1.303822
1015, 1.304459
1495, 1.304459
2959, 1.304777
3374, 1.304777
1054, 1.305096
1496, 1.305096
2582, 1.305096
2727, 1.305096
3375, 1.305414
1543, 1.305732
1784, 1.305732
1053, 1.306051
1019, 1.306369
2291, 1.306369
2073, 1.306688
