Num Cols: [23]
Cat Cols: [3, 5, 9]
Null Rows: []
Dirty Rows: []
8500, 0, 2.048632
8501, 0, 2.048632
11627, 0, 1.750543
11629, 0, 1.742486
13391, 0, 1.742486
13392, 0, 1.742486
11624, 0, 1.726374
11625, 0, 1.726374
5136, 0, 1.718317
5137, 0, 1.718317
11626, 0, 1.710261
11628, 0, 1.710261
5134, 0, 1.661922
5135, 0, 1.661922
13389, 0, 1.653865
13390, 0, 1.653865
8496, 0, 1.597470
8497, 0, 1.597470
8498, 0, 1.524962
8499, 0, 1.524962
11618, 0, 1.524962
11619, 0, 1.524962
11620, 0, 1.524962
11638, 0, 1.500792
11639, 0, 1.500792
11621, 0, 1.476623
11622, 0, 1.476623
11623, 0, 1.476623
5132, 0, 1.452454
13381, 0, 1.444397
5130, 0, 1.428284
5131, 0, 1.428284
5133, 0, 1.412171
13379, 0, 1.412171
13380, 0, 1.412171
5138, 0, 1.371889
5139, 0, 1.371889
13393, 0, 1.347720
13394, 0, 1.347720
8492, 0, 1.323550
8493, 0, 1.323550
6750, 0, 1.315494
13340, 0, 1.307437
13339, 0, 1.299381
6748, 0, 1.291324
6749, 0, 1.291324
12163, 0, 1.291324
13337, 0, 1.291324
12162, 0, 1.275211
13335, 0, 1.275211
13336, 0, 1.275211
11863, 0, 1.267155
11864, 0, 1.267155
13413, 0, 1.267155
13414, 0, 1.267155
13473, 0, 1.267155
13474, 0, 1.267155
13407, 0, 1.251042
13408, 0, 1.251042
8494, 0, 1.242986
12161, 0, 1.242986
12168, 0, 1.242986
12169, 0, 1.242986
13338, 0, 1.242986
13405, 0, 1.226873
13410, 0, 1.226873
13411, 0, 1.226873
13412, 0, 1.226873
13475, 0, 1.226873
8495, 0, 1.218816
11633, 0, 1.218816
13409, 0, 1.218816
11632, 0, 1.210760
13476, 0, 1.210760
13406, 0, 1.202703
12170, 0, 1.194647
12171, 0, 1.194647
13415, 0, 1.194647
13416, 0, 1.194647
11630, 0, 1.170477
11631, 0, 1.170477
13404, 0, 1.162421
8491, 0, 1.154365
11855, 0, 1.146308
11856, 0, 1.146308
15052, 0, 1.146308
15053, 0, 1.146308
8490, 0, 1.138252
15050, 0, 1.130195
15051, 0, 1.130195
5128, 0, 1.122139
8483, 0, 1.122139
8484, 0, 1.122139
8485, 0, 1.122139
8489, 0, 1.097969
12160, 0, 1.097969
11857, 0, 1.089913
11858, 0, 1.089913
12158, 0, 1.089913
12159, 0, 1.089913
13344, 0, 1.081856
5129, 0, 1.073800
13343, 0, 1.073800
13341, 0, 1.065743
13342, 0, 1.065743
12663, 0, 1.049630
11846, 0, 1.033518
11847, 0, 1.033518
11848, 0, 1.033518
14037, 0, 1.033518
14038, 0, 1.033518
5127, 0, 1.025461
12661, 0, 1.025461
12662, 0, 1.025461
13332, 0, 1.025461
13333, 0, 1.025461
13334, 0, 1.025461
13385, 0, 1.025461
13386, 0, 1.025461
14035, 0, 1.025461
14036, 0, 1.025461
11636, 0, 1.017405
11637, 0, 1.017405
13387, 0, 1.009348
13388, 0, 1.001292
11852, 0, 0.985179
6756, 0, 0.977122
6753, 0, 0.969066
6757, 0, 0.969066
13868, 0, 0.961009
13869, 0, 0.961009
13870, 0, 0.961009
11851, 0, 0.952953
11854, 0, 0.944896
6754, 0, 0.936840
6755, 0, 0.936840
11849, 0, 0.936840
11850, 0, 0.936840
12658, 0, 0.936840
12659, 0, 0.936840
12660, 0, 0.936840
11634, 0, 0.928783
11635, 0, 0.928783
11853, 0, 0.928783
13373, 0, 0.928783
13374, 0, 0.928783
13375, 0, 0.928783
13376, 0, 0.928783
13377, 0, 0.928783
13378, 0, 0.928783
6762, 0, 0.920727
6763, 0, 0.920727
